﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","01-01-01 Medical sciences (non-specific)","01-01-02 Medicine (non-specific)","01-01-03 Medicine by specialism","01-01-04 Dentistry","01 Medicine and dentistry"
"10008071","AA School of Architecture","0","0","0","0","0"
"10007783","The University of Aberdeen","70","1,380","0","110","1,560"
"10007849","Abertay University","0","0","0","0","0"
"10007856","Aberystwyth University","0","0","0","0","0"
"10067853","ACM Guildford Limited","0","0","0","0","0"
"10000163","AECC University College","0","0","5","0","5"
"10032036","Amity Global Education","0","0","0","0","0"
"10000291","Anglia Ruskin University","20","525","0","0","545"
"10041898","Apex College","0","0","0","0","0"
"10062759","Applied Business Academy Limited","0","0","0","0","0"
"10005451","Arden University","0","0","0","0","0"
"10000381","Arts Educational Schools","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0"
"10007759","Aston University","5","595","5","10","615"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0"
"10007857","Bangor University","115","40","5","10","170"
"10000571","Bath Spa University","0","0","0","0","0"
"10007850","The University of Bath","0","70","0","0","70"
"10007152","University of Bedfordshire","45","0","0","0","45"
"10005343","Queen's University Belfast","345","1,520","0","290","2,160"
"10037544","BIMM University","0","0","0","0","0"
"10007760","Birkbeck College","0","0","0","0","0"
"10007140","Birmingham City University","0","0","0","0","0"
"10006840","The University of Birmingham","120","2,205","185","550","3,055"
"10000712","University College Birmingham","0","0","0","0","0"
"10007832","Birmingham Newman University","0","0","0","0","0"
"10000894","Bristol Baptist College","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0"
"10004061","Bloomsbury Institute","0","0","0","0","0"
"10006841","The University of Bolton","0","0","5","0","5"
"10000385","The Arts University Bournemouth","0","0","0","0","0"
"10000824","Bournemouth University","5","0","15","0","20"
"10031982","BPP University","0","0","0","0","0"
"10007785","The University of Bradford","0","0","0","0","0"
"10000886","The University of Brighton","0","655","50","5","705"
