﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","70"
"10007783","The University of Aberdeen","5","5","10","0","9,730"
"10019746","ABI College Limited","0","0","0","0","70"
"10007849","Abertay University","0","0","0","0","3,300"
"10007856","Aberystwyth University","5","5","10","0","7,205"
"10000080","Access to Music Limited","0","0","0","0","60"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","180"
"10000291","Anglia Ruskin University","10","0","15","5","19,540"
"10041898","Apex College","0","0","0","0","50"
"10005451","Arden University","0","0","0","0","2,490"
"10000381","Arts Educational Schools","5","0","5","0","235"
"10007759","Aston University","5","0","5","0","11,180"
"10007857","Bangor University","10","25","45","5","8,880"
"10000571","Bath Spa University","15","5","20","0","7,200"
"10007850","The University of Bath","65","15","80","5","11,965"
"10007152","University of Bedfordshire","5","0","10","0","11,555"
"10005343","Queen's University Belfast","5","15","20","0","20,790"
"10037544","BIMM University","20","10","30","0","4,315"
"10007760","Birkbeck College","5","0","5","0","11,560"
"10007140","Birmingham City University","10","5","10","0","21,150"
"10006840","The University of Birmingham","35","15","125","75","26,530"
"10000712","University College Birmingham","0","0","0","0","3,580"
"10007832","Birmingham Newman University","0","0","0","0","2,795"
"10000894","Bristol Baptist College","0","0","0","0","25"
"10007811","Bishop Grosseteste University","0","0","0","0","2,215"
"10004061","Bloomsbury Institute","0","0","0","0","1,230"
"10006841","The University of Bolton","0","0","5","0","5,945"
"10000385","The Arts University Bournemouth","50","5","55","0","2,785"
"10000824","Bournemouth University","55","5","60","0","17,430"
"10031982","BPP University","5","5","10","0","3,775"
"10007785","The University of Bradford","0","5","5","0","9,355"
"10000886","The University of Brighton","150","5","155","0","18,845"
"10000936","The University College of Osteopathy","5","0","5","0","410"
"10007786","The University of Bristol","30","10","45","0","18,305"
"10028216","Brit College","0","0","0","0","565"
"10023464","Trinity College Bristol","0","0","0","0","115"
"10000961","Brunel University London","10","0","10","0","9,640"
"10000975","Buckinghamshire New University","10","0","10","0","8,105"
"10007787","The University of Buckingham","5","0","5","0","1,575"
"10022021","UK College of Business and Computing","0","0","0","0","955"
"10041974","London College of Business Sciences","0","0","0","0","40"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","25"
"10007788","The University of Cambridge","20","5","20","0","13,205"
"10032072","The Cambridge Theological Federation","0","0","0","0","180"
"10003324","The Institute of Cancer Research","0","0","0","0","245"
"10001143","Canterbury Christ Church University","20","0","25","5","14,470"
"10007814","Cardiff University","45","5","50","0","24,075"
"10007854","Cardiff Metropolitan University","10","5","25","10","9,215"
"10007141","The University of Central Lancashire","10","20","30","0","21,680"
"10007848","University of Chester","15","55","70","0","14,440"
"10007137","The University of Chichester","35","0","35","0","5,370"
"10001386","Chicken Shed Theatre Company","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","175"
"10001419","Christie's Education Limited","0","0","0","0","15"
"10010213","The City College","0","0","0","0","325"
"10001478","City, University of London","5","5","10","0","11,840"
"10007912","Cliff College","0","0","0","0","65"
"10013357","The Academy of Contemporary Music","0","0","5","0","1,075"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","915"
"10007761","Courtauld Institute of Art","0","0","0","0","310"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","25"
"10001726","Coventry University","10","5","10","0","20,990"
"10007822","Cranfield University","0","0","10","10","1,960"
"10006427","University for the Creative Arts","5","0","10","5","5,400"
"10007842","University of Cumbria","10","10","25","5","8,350"
"10001883","De Montfort University","20","15","35","0","19,535"
"10007851","University of Derby","5","15","25","5","16,235"
"10007852","The University of Dundee","15","10","25","0","13,155"
"10007143","University of Durham","45","25","70","0","13,330"
"10007789","The University of East Anglia","5","10","15","0","13,250"
"10007144","The University of East London","5","0","15","5","12,025"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","245"
"10007823","Edge Hill University","10","65","75","0","14,975"
"10007772","Edinburgh Napier University","0","5","10","5","10,450"
"10007790","The University of Edinburgh","35","25","65","5","20,415"
"10022047","Empire College London Limited","0","0","0","0","140"
"10042570","Escape Studios","0","0","0","0","390"
"10007791","The University of Essex","10","0","10","0","10,175"
"10002113","East End Computing and Business College Limited","0","0","0","0","370"
"10008173","University College of Estate Management","0","0","0","0","2,275"
"10008229","EThames Graduate School Limited","0","0","0","0","250"
"10007792","The University of Exeter","100","10","115","5","17,300"
"10008640","Falmouth University","25","5","25","0","4,865"
"10033187","Fairfield School of Business Ltd","0","0","25","25","615"
"10045476","Met Film School Limited","0","0","0","0","105"
"10004511","The National Film and Television School","0","0","0","0","180"
"10038763","ForMission Ltd","0","0","0","0","170"
"10022087","Futureworks","0","0","0","0","370"
"10007762","Glasgow Caledonian University","0","0","0","0","14,395"
"10002681","Glasgow School of Art","0","0","0","0","1,445"
"10007794","The University of Glasgow","10","5","10","0","20,380"
"10007145","University of Gloucestershire","10","5","15","0","8,030"
"10002718","Goldsmiths College","10","0","10","0","7,035"
"10030408","Gower College Swansea","0","0","0","0","110"
"10002735","Grafton College","0","0","0","0","390"
"10007146","The University of Greenwich","10","5","15","0","16,220"
"10007937","GSM London","0","0","0","0","6,755"
"10007825","Guildhall School of Music and Drama","5","0","5","0","685"
"10040812","Harper Adams University","10","5","20","0","5,190"
"10007764","Heriot-Watt University","5","0","5","0","7,405"
"10007147","University of Hertfordshire","15","5","20","0","20,775"
"10007765","Heythrop College","0","0","0","0","390"
"10007148","The University of Huddersfield","0","25","25","0","15,310"
"10007149","The University of Hull","5","10","15","5","14,230"
"10003239","ICON College of Technology and Management","0","0","0","0","1,030"
"10003270","Imperial College of Science, Technology and Medicine","0","0","0","0","8,790"
"10035638","Institute of Contemporary Music Performance","0","0","5","0","545"
"10029682","The Islamic College","0","0","0","0","20"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","595"
"10007767","Keele University","10","10","25","0","9,360"
"10003566","Kensington College of Business","0","0","0","0","330"
"10007150","The University of Kent","40","15","65","10","15,410"
"10003645","King's College London","30","10","40","0","20,575"
"10008325","KLC School of Design","0","0","0","0","165"
"10003678","Kingston University","15","5","20","0","16,060"
"10009285","Kogan Academy of Dramatic Arts","0","0","0","0","20"
"10007768","The University of Lancaster","25","40","70","5","9,015"
"10003854","Leeds Arts University","0","5","5","0","1,335"
"10003861","Leeds Beckett University","15","40","50","0","23,325"
"10007795","The University of Leeds","30","30","80","20","25,770"
"10003863","Leeds Trinity University","0","0","0","0","3,575"
"10007796","The University of Leicester","20","10","40","10","12,720"
"10007151","The University of Lincoln","0","5","10","0","12,795"
"10003956","Liverpool Hope University","10","20","30","0","5,075"
"10003957","Liverpool John Moores University","30","55","85","0","20,870"
"10003945","The Liverpool Institute for Performing Arts","5","0","5","0","575"
"10006842","The University of Liverpool","50","50","110","10","19,640"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","265"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","1,180"
"10007162","University of the Arts, London","25","10","35","0","9,740"
"10013109","London Bridge Business Academy","0","0","0","0","140"
"10007769","London Business School","0","0","0","0","525"
"10030391","London Churchill College Ltd","0","0","0","0","970"
"10018361","City of London College","0","0","0","0","45"
"10007797","University of London (Institutes and activities)","0","0","0","0","120"
"10039082","City and Guilds of London Art School","0","0","0","0","90"
"10057951","London College of Creative Media Limited","0","0","0","0","140"
"10015506","The London College","0","0","0","0","785"
"10004048","London Metropolitan University","0","5","5","0","10,920"
"10032594","London School of Academics Ltd","0","0","0","0","110"
"10004078","London South Bank University","5","0","5","0","16,190"
"10004063","London School of Economics and Political Science","5","0","5","0","3,665"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","0","700"
"10022285","London School of Management Education","0","0","0","0","210"
"10004075","London School of Theology","0","0","0","0","155"
"10004079","London Studio Centre","0","0","0","0","285"
"10000939","West London College","0","0","0","0","15"
"10008289","The London Institute of Banking & Finance","0","0","0","0","285"
"10004113","Loughborough University","40","30","65","0","13,550"
"10009612","Luther King House Educational Trust","0","0","0","0","70"
"10004180","The Manchester Metropolitan University","15","40","55","0","30,620"
"10007798","The University of Manchester","35","25","60","0","26,985"
"10009527","Istituto Marangoni Limited","0","0","0","0","95"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","35"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","60"
"10020416","Missio Dei","0","0","0","0","85"
"10030776","St Mellitus College","0","0","0","0","395"
"10004320","The Metanoia Institute","0","0","0","0","120"
"10004351","Middlesex University","15","5","15","0","14,950"
"10004365","Millennium Performing Arts Ltd","0","0","0","0","50"
"10004450","Mountview Academy of Theatre Arts","0","0","0","0","290"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","1,175"
"10023454","Moorlands College","0","0","0","0","205"
"10000216","All Nations Christian College","0","0","0","0","35"
"10004538","Nazarene Theological College","0","0","0","0","90"
"10030129","Nelson College London Ltd","0","0","0","0","1,055"
"10007799","Newcastle University","25","30","55","0","18,585"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","35"
"10048199","Northeastern University London","0","0","0","0","95"
"10008397","Norland College","0","0","0","0","240"
"10007138","The University of Northampton","5","5","15","5","11,245"
"10009614","Grŵp NPTC Group","0","0","0","0","105"
"10004740","Northern College of Acupuncture","0","0","0","0","85"
"10001282","University of Northumbria at Newcastle","25","40","70","5","23,300"
"10004775","Norwich University of the Arts","10","0","10","0","2,030"
"10007154","University of Nottingham","20","25","45","0","25,235"
"10004797","The Nottingham Trent University","20","40","70","5","25,435"
"10010227","Oak Hill College","0","0","0","0","115"
"10007773","The Open University","0","0","0","0","121,395"
"10023445","ICOM","0","0","0","0","50"
"10004930","Oxford Brookes University","40","10","45","0","14,600"
"10020439","Oxford Business College","0","0","0","0","65"
"10007774","The University of Oxford","25","10","35","0","16,395"
"10006243","St Patrick's International College","0","0","0","0","1,870"
"10005127","Arts University Plymouth","5","0","5","0","1,275"
"10007801","University of Plymouth","55","5","60","0","19,555"
"10019178","Point Blank Music School","0","0","0","0","75"
"10007155","The University of Portsmouth","45","5","55","0","19,670"
