﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","95"
"10007783","The University of Aberdeen","0","5","5","0","11,255"
"10007849","Abertay University","0","0","0","0","3,930"
"10007856","Aberystwyth University","10","5","15","0","6,620"
"10067853","ACM Guildford Limited","5","0","5","0","1,120"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","260"
"10000163","AECC University College","5","0","5","0","585"
"10032036","Amity Global Education","0","0","0","0","80"
"10000291","Anglia Ruskin University","5","5","5","0","25,830"
"10041898","Apex College","0","0","5","5","170"
"10062759","Applied Business Academy Limited","0","0","10","10","220"
"10005451","Arden University","0","0","0","0","11,735"
"10000381","Arts Educational Schools","0","0","0","0","330"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","1,000"
"10003212","Hult International Business School Ltd","0","0","0","0","60"
"10007759","Aston University","0","5","5","0","14,145"
"10038772","British Academy of Jewellery Limited","0","0","0","0","30"
"10007857","Bangor University","10","10","25","0","7,860"
"10000571","Bath Spa University","20","5","20","0","8,610"
"10007850","The University of Bath","60","20","80","0","13,650"
"10007152","University of Bedfordshire","0","0","5","0","11,170"
"10005343","Queen's University Belfast","5","20","25","0","20,375"
"10037544","BIMM University","30","5","35","0","5,275"
"10007760","Birkbeck College","0","0","0","0","10,515"
"10007140","Birmingham City University","10","5","15","0","24,665"
"10006840","The University of Birmingham","40","20","75","15","28,220"
"10000712","University College Birmingham","0","0","5","0","3,800"
"10007832","Birmingham Newman University","0","0","0","0","2,820"
"10000894","Bristol Baptist College","0","0","0","0","60"
"10007811","Bishop Grosseteste University","0","0","0","0","2,430"
"10004061","Bloomsbury Institute","0","0","0","0","955"
"10006841","The University of Bolton","0","0","0","0","9,345"
"10000385","The Arts University Bournemouth","60","5","65","0","2,945"
"10000824","Bournemouth University","80","5","85","0","15,005"
"10031982","BPP University","15","5","25","0","8,425"
"10007785","The University of Bradford","0","0","0","0","8,535"
"10000886","The University of Brighton","100","5","110","0","15,340"
"10000936","The University College of Osteopathy","0","0","0","0","400"
"10007786","The University of Bristol","50","10","60","0","21,695"
"10028216","Brit College","0","0","0","0","25"
"10023464","Trinity College Bristol","0","0","0","0","160"
"10000961","Brunel University London","5","5","15","5","12,105"
"10000975","Buckinghamshire New University","5","5","15","5","17,035"
"10007787","The University of Buckingham","5","0","10","0","2,290"
"10019368","London College of Business Studies","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","50"
"10007788","The University of Cambridge","10","5","10","0","14,880"
"10032072","The Cambridge Theological Federation","0","0","0","0","150"
"10003324","The Institute of Cancer Research","0","0","0","0","265"
"10001143","Canterbury Christ Church University","10","0","15","5","15,665"
"10007814","Cardiff University","50","10","65","5","25,780"
"10007854","Cardiff Metropolitan University","15","0","15","0","9,565"
"10057213","CEG UFP Limited","0","0","0","0","10"
"10007141","The University of Central Lancashire","10","25","30","0","22,315"
"10024024","Central Film School London","0","0","0","0","45"
"10007848","University of Chester","10","45","55","0","12,405"
"10007137","The University of Chichester","35","0","35","0","5,650"
"10001386","Chicken Shed Theatre Company","0","0","0","0","95"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","185"
"10001419","Christie's Education Limited","0","0","0","0","20"
"10026921","Christ the Redeemer College","0","0","0","0","220"
"10010213","The City College","0","0","0","0","70"
"10001478","City, University of London","5","0","5","0","14,590"
"10007912","Cliff College","0","0","0","0","140"
"10066502","The College of Health Ltd","0","0","0","0","255"
"10023442","The College of Osteopaths","0","0","0","0","40"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","700"
"10081618","The Council of the Inns of Court","0","0","0","0","85"
"10007761","Courtauld Institute of Art","0","0","0","0","340"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","35"
"10001726","Coventry University","5","0","10","0","25,400"
"10007822","Cranfield University","5","0","10","5","2,895"
"10006427","University for the Creative Arts","10","0","10","0","6,300"
"10007842","University of Cumbria","15","5","25","5","9,005"
"10026767","Dartington Hall Trust (The)","0","0","0","0","60"
"10015688","David Game College Ltd","0","0","0","0","195"
"10001883","De Montfort University","5","15","45","30","21,170"
"10007851","University of Derby","5","0","5","0","19,055"
"10007852","The University of Dundee","0","10","10","0","13,170"
"10007143","University of Durham","70","20","90","0","14,465"
"10007789","The University of East Anglia","15","0","15","0","15,920"
"10007144","The University of East London","5","5","10","0","12,175"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","360"
"10007823","Edge Hill University","25","70","90","0","14,185"
"10007772","Edinburgh Napier University","5","5","10","0","11,505"
"10007790","The University of Edinburgh","40","25","65","5","22,235"
"10022047","Empire College London Limited","0","0","0","0","170"
"10042570","Escape Studios","0","0","0","0","1,330"
"10007791","The University of Essex","15","0","20","5","12,490"
"10008173","University College of Estate Management","0","0","0","0","3,015"
"10002313","ESCP Europe Business School","0","0","0","0","5"
"10007792","The University of Exeter","110","10","125","5","22,615"
"10008640","Falmouth University","20","5","30","0","5,635"
"10033187","Fairfield School of Business Ltd","0","0","0","0","30"
"10045476","Met Film School Limited","0","0","0","0","195"
"10004511","The National Film and Television School","0","0","0","0","410"
"10038763","ForMission Ltd","0","0","0","0","85"
"10022087","Futureworks","0","0","5","0","395"
"10042500","Global Banking School Limited","0","0","0","0","1,640"
"10007762","Glasgow Caledonian University","5","0","5","0","16,505"
"10002681","Glasgow School of Art","0","0","0","0","1,535"
"10007794","The University of Glasgow","15","5","20","0","23,900"
"10007145","University of Gloucestershire","5","0","5","0","7,610"
"10002718","Goldsmiths College","5","0","5","0","7,125"
"10030408","Gower College Swansea","0","0","0","0","65"
"10007146","The University of Greenwich","10","0","25","20","15,800"
"10007825","Guildhall School of Music and Drama","0","0","0","0","745"
"10040812","Harper Adams University","10","5","15","0","4,870"
"10080811","Hartpury University","5","5","10","0","2,030"
"10007764","Heriot-Watt University","10","5","15","0","7,925"
"10007147","University of Hertfordshire","10","5","15","0","20,390"
"10007148","The University of Huddersfield","10","20","25","0","16,915"
"10007149","The University of Hull","5","10","10","0","12,420"
"10003239","ICON College of Technology and Management","0","0","0","0","1,750"
"10003270","Imperial College of Science, Technology and Medicine","0","0","0","0","10,105"
"10013220","Institute of Art - London Limited","0","0","0","0","90"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","0","0","5","5","755"
"10029682","The Islamic College","0","0","0","0","100"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","10"
"10021682","Kaplan Open Learning (Essex) Limited","5","0","15","10","1,755"
"10007767","Keele University","10","10","25","0","10,700"
"10003566","Kensington College of Business","0","0","0","0","60"
"10007150","The University of Kent","20","5","25","0","15,045"
"10003645","King's College London","20","5","25","0","22,895"
"10008325","KLC School of Design","5","0","5","0","175"
"10003678","Kingston University","10","5","15","0","13,650"
"10003758","LAMDA Limited","0","0","0","0","185"
"10007768","The University of Lancaster","35","50","90","0","12,000"
"10066551","LCCM AU UK Limited","0","0","0","0","75"
"10003854","Leeds Arts University","10","0","10","0","2,085"
"10003861","Leeds Beckett University","10","30","40","0","21,410"
"10003798","Le Cordon Bleu Limited","0","0","0","0","155"
"10034449","Leeds Conservatoire","5","5","5","0","1,385"
"10007795","The University of Leeds","55","35","95","5","26,385"
"10003863","Leeds Trinity University","5","0","5","0","7,615"
"10007796","The University of Leicester","15","10","30","5","11,845"
"10007151","The University of Lincoln","10","10","25","5","16,280"
"10003956","Liverpool Hope University","15","20","35","0","5,410"
"10003957","Liverpool John Moores University","90","65","155","0","25,185"
"10003945","The Liverpool Institute for Performing Arts","5","0","5","0","765"
"10006842","The University of Liverpool","80","45","140","15","21,385"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","225"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","1,050"
"10007162","University of the Arts, London","15","5","20","0","9,870"
"10013109","London Bridge Business Academy","0","0","0","0","255"
"10007769","London Business School","0","0","0","0","495"
"10030391","London Churchill College Ltd","0","0","0","0","20"
"10007797","University of London (Institutes and activities)","35","5","45","0","3,830"
"10039082","City and Guilds of London Art School","0","0","0","0","215"
"10023434","London School of Commerce & IT Limited","0","0","0","0","385"
"10004036","London Film School Limited","0","0","5","5","70"
"10015506","The London College","0","0","0","0","1,455"
"10004048","London Metropolitan University","5","0","5","0","11,230"
"10032594","London School of Academics Ltd","0","0","0","0","190"
"10004078","London South Bank University","5","0","5","0","15,860"
"10004063","London School of Economics and Political Science","5","0","5","0","4,430"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","0","575"
"10022285","London School of Management Education","0","0","0","0","645"
"10004075","London School of Theology","0","0","0","0","310"
"10004079","London Studio Centre","0","0","0","0","270"
"10062810","The London School of Architecture","0","0","0","0","90"
"10008289","The London Institute of Banking & Finance","0","0","0","0","255"
"10004035","The Film Education Training Trust Limited","0","0","0","0","30"
"10004113","Loughborough University","35","20","55","0","14,410"
"10009612","Luther King House Educational Trust","0","0","0","0","85"
"10004180","The Manchester Metropolitan University","40","40","80","0","33,155"
"10007798","The University of Manchester","50","15","65","0","27,010"
"10009527","Istituto Marangoni Limited","0","0","0","0","115"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","120"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","90"
"10020416","Missio Dei","0","0","0","0","55"
"10030776","St Mellitus College","0","0","0","0","600"
"10004320","The Metanoia Institute","0","0","0","0","410"
"10004351","Middlesex University","10","5","10","0","14,940"
"10032277","The Minster Centre","0","0","0","0","170"
"10004450","Mountview Academy of Theatre Arts","5","0","5","0","365"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","820"
"10023454","Moorlands College","0","0","0","0","255"
"10000216","All Nations Christian College","0","0","0","0","50"
"10004538","Nazarene Theological College","0","0","0","0","150"
"10030129","Nelson College London Ltd","0","0","0","0","1,460"
"10023456","Newbold College","0","0","0","0","60"
"10007799","Newcastle University","30","25","55","5","21,165"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","5"
"10048199","Northeastern University London","0","0","0","0","170"
"10008397","Norland College","0","0","0","0","260"
"10007138","The University of Northampton","5","0","10","0","11,075"
"10009614","Grŵp NPTC Group","0","0","0","0","195"
"10004740","Northern College of Acupuncture","0","0","0","0","170"
"10001282","University of Northumbria at Newcastle","15","30","50","0","24,705"
"10004775","Norwich University of the Arts","5","5","10","0","2,450"
"10007154","University of Nottingham","25","20","45","0","28,070"
"10004797","The Nottingham Trent University","30","60","90","5","33,610"
"10007773","The Open University","5","0","10","5","151,830"
"10023445","ICOM","0","0","0","0","50"
"10004930","Oxford Brookes University","55","10","85","25","14,745"
"10020439","Oxford Business College","0","0","0","0","5"
"10007774","The University of Oxford","40","5","50","0","18,120"
"10006243","St Patrick's International College","0","0","0","0","280"
"10005127","Arts University Plymouth","5","0","5","0","1,185"
"10007801","University of Plymouth","75","5","80","0","16,845"
"10019178","Point Blank Music School","0","0","0","0","535"
"10007155","The University of Portsmouth","40","10","55","5","21,905"
"10083476","The Prince's Foundation","0","0","0","0","10"
"10005337","Queen Margaret University, Edinburgh","35","5","40","0","4,685"
"10007775","Queen Mary University of London","5","0","5","0","16,080"
"10025197","University Centre Quayside Limited","0","0","0","0","130"
"10009292","Royal Academy of Dramatic Art","0","0","0","0","145"
"10005544","Royal Academy of Dance","0","0","0","0","115"
"10005389","Ravensbourne University London","0","0","0","0","2,195"
"10005470","Richmond, The American International University in London","0","0","0","0","345"
"10007802","The University of Reading","35","10","95","50","15,800"
"10086591","Regent's University London Limited","0","0","0","0","420"
"10021100","Regents Theological College","0","0","0","0","195"
"10023871","Results Consortium Limited","0","0","0","0","20"
"10062833","Raindance Educational Services Limited","0","0","0","0","15"
"10008455","Regent College London","0","0","0","0","2,985"
"10005500","Robert Gordon University","10","5","20","0","11,475"
"10007776","Roehampton University","0","0","5","0","10,430"
"10005523","Rose Bruford College of Theatre and Performance","0","0","5","0","695"
"10007835","Royal Academy of Music","5","0","5","0","425"
"10005545","Royal Agricultural University","0","0","0","0","1,030"
"10007777","Royal College of Art","0","0","0","0","570"
"10007778","Royal College of Music","0","0","0","0","415"
"10005561","Royal Conservatoire of Scotland","5","0","5","0","870"
"10007816","The Royal Central School of Speech and Drama","0","0","5","0","770"
"10005553","Royal Holloway and Bedford New College","20","0","25","0","9,615"
"10007837","Royal Northern College of Music","5","0","5","0","620"
"10007779","The Royal Veterinary College","0","0","0","0","1,900"
"10007803","The University of St. Andrews","15","10","25","0","6,355"
"10007839","SAE Education Limited","0","5","5","0","675"
"10007782","St George's, University of London","5","0","10","0","4,880"
"10008026","St Mary's University College","0","0","0","0","1,060"
"10007843","St Mary's University, Twickenham","5","0","25","20","4,595"
"10007156","The University of Salford","10","10","20","0","20,820"
"10021256","The Salvation Army","0","0","0","0","30"
"10008362","London School of Science and Technology Limited","0","0","0","0","560"
"10007780","SOAS University of London","5","0","10","5","3,745"
"10005700","SRUC","0","0","0","0","1,735"
"10005790","Sheffield Hallam University","5","40","45","0","30,260"
"10007157","The University of Sheffield","20","30","50","0","19,345"
"10023458","The Sherwood Psychotherapy Training Institute Limited","0","0","0","0","235"
"10006022","Solent University","30","5","35","0","8,440"
"10007158","The University of Southampton","50","5","60","0","14,665"
"10006093","Spurgeon's College","0","0","0","0","315"
"10006299","Staffordshire University","5","5","35","25","17,325"
"10007804","The University of Stirling","15","10","30","5","10,735"
"10037449","University of St Mark and St John","5","0","10","0","3,005"
"10008010","Stranmillis University College","0","0","0","0","1,295"
"10007805","The University of Strathclyde","5","0","5","0","19,845"
"10014001","University of Suffolk","0","0","0","0","11,210"
"10007159","The University of Sunderland","0","0","5","0","14,895"
"10007160","The University of Surrey","35","5","40","0","12,310"
"10007806","The University of Sussex","100","0","100","0","13,870"
"10007855","Swansea University","25","10","35","0","17,845"
"10007161","Teesside University","0","0","5","0","17,495"
"10082743","ThinkSpace Education Limited","0","0","0","0","50"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","885"
"10007858","University of Wales Trinity Saint David","0","0","0","0","14,000"
