﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10007783","The University of Aberdeen","0","1,620","0","0","1,620","45","305","375","730","70","45","5","25","225","1,825","3,445"
"10007849","Abertay University","0","220","5","0","225","10","50","40","95","10","5","0","0","35","245","470"
"10007856","Aberystwyth University","0","690","5","0","700","45","300","255","215","70","35","15","5","165","1,100","1,800"
"10067853","ACM Guildford Limited*","0","110","0","0","110","","","","","","","","","","",""
"10000163","AECC University College*","0","60","0","0","60","","","","","","","","","","",""
"10032036","Amity Global Education*","0","0","0","0","0","","","","","","","","","","",""
"10000291","Anglia Ruskin University","10","890","20","0","920","85","235","280","385","35","5","15","0","40","1,085","2,005"
"10005451","Arden University*","0","335","0","0","335","","","","","","","","","","",""
"10007759","Aston University","0","950","0","0","950","70","170","345","240","30","30","5","5","110","1,010","1,960"
"10038772","British Academy of Jewellery Limited*","0","15","0","0","20","","","","","","","","","","",""
"10007857","Bangor University","5","970","30","0","1,010","45","95","230","300","30","45","10","10","220","975","1,985"
"10000571","Bath Spa University","5","620","5","0","625","25","105","190","135","20","15","0","0","70","560","1,185"
"10007850","The University of Bath","0","1,525","0","0","1,525","175","500","415","465","85","75","20","20","295","2,050","3,575"
"10007152","University of Bedfordshire","0","530","5","0","540","10","130","200","235","10","30","10","0","25","645","1,185"
"10005343","Queen's University Belfast","0","2,020","25","0","2,045","30","705","420","795","50","70","30","0","175","2,280","4,325"
"10037544","BIMM University*","5","820","0","0","820","","","","","","","","","","",""
"10007760","Birkbeck College","0","1,040","0","0","1,040","55","145","165","275","15","10","0","0","65","725","1,765"
"10007140","Birmingham City University*","5","1,995","25","0","2,025","","","","","","","","","","",""
"10006840","The University of Birmingham*","15","3,995","90","0","4,100","","","","","","","","","","",""
"10000712","University College Birmingham","10","215","0","0","225","15","75","55","75","10","5","10","0","50","300","525"
"10007832","Birmingham Newman University","0","135","5","0","140","15","25","35","65","10","5","0","0","30","185","330"
"10007811","Bishop Grosseteste University","5","130","0","0","135","20","40","50","60","15","25","0","0","10","215","350"
"10004061","Bloomsbury Institute*","0","35","0","0","35","","","","","","","","","","",""
"10006841","The University of Bolton*","0","430","35","0","465","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","395","5","0","395","15","35","75","60","0","5","0","0","0","190","590"
"10000824","Bournemouth University","0","930","0","0","930","40","240","285","285","15","10","0","0","0","880","1,810"
"10007785","The University of Bradford","0","550","15","0","565","35","125","150","345","30","30","10","0","145","870","1,435"
"10000886","The University of Brighton","0","1,505","5","0","1,510","85","245","360","515","35","60","5","5","150","1,460","2,970"
"10000936","The University College of Osteopathy*","5","55","0","0","60","","","","","","","","","","",""
"10007786","The University of Bristol","0","3,595","0","0","3,595","485","810","1,030","1,475","140","120","60","25","550","4,690","8,285"
"10000961","Brunel University London","5","1,310","0","0","1,315","120","280","235","420","30","10","20","5","145","1,275","2,590"
"10000975","Buckinghamshire New University*","0","490","25","0","515","","","","","","","","","","",""
"10007788","The University of Cambridge","10","6,120","0","0","6,130","130","2,450","1,445","1,130","115","265","0","475","325","6,335","12,465"
"10003324","The Institute of Cancer Research","0","675","5","0","680","40","150","120","115","10","10","0","0","10","450","1,135"
"10001143","Canterbury Christ Church University","0","745","0","0","745","25","510","120","120","65","65","10","0","105","1,020","1,765"
"10007814","Cardiff University","30","3,355","10","0","3,400","555","830","480","1,385","105","10","15","5","155","3,535","6,935"
"10007854","Cardiff Metropolitan University","0","770","0","0","770","45","180","265","270","15","25","0","0","55","855","1,625"
"10007141","The University of Central Lancashire","0","1,660","50","0","1,710","10","220","490","595","15","55","10","20","150","1,565","3,275"
"10024024","Central Film School London*","0","5","0","0","5","","","","","","","","","","",""
"10007848","University of Chester","5","645","0","0","645","40","200","275","335","45","40","5","10","110","1,055","1,705"
"10007137","The University of Chichester*","0","510","0","0","510","","","","","","","","","","",""
