﻿Title:,"Table 28 - Non-UK permanent address students by HE provider and country of permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Albania","Andorra","Armenia","Azerbaijan","Belarus","Bosnia and Herzegovina","Cyprus (Non-European Union)","Faroe Islands","Georgia","Iceland","Kosovo","Liechtenstein","Moldova","Monaco","Montenegro","North Macedonia","Norway","Russia","San Marino","Serbia","Svalbard and Jan Mayen","Switzerland","Turkey","Ukraine","Vatican City","Europe not otherwise specified","Total Other Europe","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","30","0","0","0","15","40","5","0","0","110","870"
"10007783","The University of Aberdeen","0","0","0","5","0","0","0","10","0","0","0","0","0","0","0","0","30","10","0","0","0","30","15","5","0","0","110","4,825"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","10","645"
"10007856","Aberystwyth University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","5","0","0","0","5","10","0","0","0","105","1,420"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","65"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","90","0","0","0","0","5","0","0","0","0","110","285"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","10","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","15","20","0","0","0","5","45","10","0","0","115","6,350"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","50"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","10","75"
"10003212","Hult International Business School Ltd","10","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","75","40","0","0","0","25","10","5","0","0","185","1,515"
"10007759","Aston University","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","15","0","0","0","10","5","0","0","0","45","2,655"
"10007857","Bangor University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0","10","25","0","0","0","50","1,845"
"10000571","Bath Spa University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","15","0","5","0","0","25","625"
"10007850","The University of Bath","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","20","55","0","0","0","115","60","10","0","0","280","4,905"
"10007152","University of Bedfordshire","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","15","6,810"
"10005343","Queen's University Belfast","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","15","0","0","0","0","20","0","0","0","55","4,985"
"10037544","BIMM University","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","45","10","0","0","0","25","5","0","0","0","95","960"
"10007760","Birkbeck College","10","0","0","5","5","0","0","0","5","0","0","0","5","0","0","0","5","15","0","0","0","20","20","0","0","0","95","1,555"
"10007140","Birmingham City University","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","5","5","5","0","0","30","4,325"
"10006840","The University of Birmingham","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","20","25","0","0","0","45","85","5","0","0","200","9,530"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1,470"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","35"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10006841","The University of Bolton","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","0","5","0","0","0","15","1,235"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","15","10","0","0","0","15","10","0","0","0","65","575"
"10000824","Bournemouth University","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","30","15","0","0","0","15","60","10","0","0","145","2,695"
"10031982","BPP University","15","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","10","25","0","0","0","15","15","5","0","0","90","6,605"
"10007785","The University of Bradford","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1,815"
"10000886","The University of Brighton","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","10","0","0","0","40","20","5","0","0","135","2,445"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","10","40"
"10007786","The University of Bristol","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","5","25","45","0","0","0","60","55","10","0","0","215","8,090"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000961","Brunel University London","5","0","0","5","0","0","0","0","0","0","5","0","0","5","0","0","30","20","0","0","0","25","75","10","0","0","175","5,640"
"10000975","Buckinghamshire New University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","25","0","0","0","0","50","935"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","10","0","0","0","0","30","1,005"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","80"
"10007788","The University of Cambridge","5","0","10","0","5","0","0","0","5","5","0","0","0","5","0","0","40","55","0","30","0","80","30","10","0","0","280","7,270"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","35"
"10001143","Canterbury Christ Church University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","15","685"
"10007814","Cardiff University","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","20","25","0","0","0","40","35","5","0","0","145","7,725"
"10007854","Cardiff Metropolitan University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","15","1,870"
"10057213","CEG UFP Limited","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","15","470"
"10007141","The University of Central Lancashire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","5","5","0","0","0","25","5,630"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","20"
"10007848","University of Chester","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","5","0","0","0","0","5","5","0","0","75","1,805"
"10007137","The University of Chichester","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10001478","City, University of London","30","0","5","30","5","0","0","0","10","5","5","0","5","5","0","0","70","135","0","5","0","100","130","20","0","15","590","6,740"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10066502","The College of Health Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","20","350"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","5","0","0","0","0","15","230"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10001726","Coventry University","15","0","0","40","0","0","0","0","0","5","0","0","5","0","0","0","15","30","0","0","0","15","20","25","0","0","180","13,770"
"10007822","Cranfield University","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","20","25","0","0","0","65","2,160"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","5","0","0","0","5","0","5","0","0","40","2,125"
"10007842","University of Cumbria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","275"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","60"
"10001883","De Montfort University","0","0","0","0","0","0","55","0","0","5","0","0","0","0","0","0","10","20","0","0","0","10","25","5","0","0","125","6,170"
"10007851","University of Derby","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","15","0","0","0","0","10","0","0","0","0","35","2,235"
"10007852","The University of Dundee","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0","20","5","0","0","0","55","3,055"
"10007143","University of Durham","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","35","30","0","5","0","85","50","15","0","0","240","6,180"
"10007789","The University of East Anglia","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","20","25","0","0","0","20","30","0","0","0","110","3,055"
"10007144","The University of East London","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0","5","15","0","0","0","60","5,220"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007823","Edge Hill University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","10","425"
"10007772","Edinburgh Napier University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","10","0","0","0","0","80","3,365"
"10007790","The University of Edinburgh","5","0","5","10","5","5","0","0","5","10","5","0","0","5","0","5","195","80","0","10","0","135","145","20","0","0","645","15,590"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","65"
"10007791","The University of Essex","0","0","0","10","0","0","5","0","0","5","0","0","0","0","0","0","75","25","0","5","0","65","55","10","0","0","255","5,975"
"10008173","University College of Estate Management","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","525"
"10007792","The University of Exeter","5","0","0","15","0","0","0","0","5","0","0","0","0","5","0","0","50","85","0","5","0","130","135","15","0","15","470","7,630"
"10008640","Falmouth University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","5","0","0","0","0","40","540"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","5","0","0","0","0","25","235"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","10","125"
"10038763","ForMission Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10022087","Futureworks","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10007762","Glasgow Caledonian University","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","5","5","0","0","0","30","2,525"
"10002681","Glasgow School of Art","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","10","5","0","0","0","5","10","0","0","0","40","830"
"10007794","The University of Glasgow","0","0","5","15","0","0","10","5","15","5","5","0","0","0","0","0","35","50","0","5","0","55","50","20","0","0","285","13,245"
"10007145","University of Gloucestershire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","15","580"
"10002718","Goldsmiths College","5","0","0","5","5","0","0","0","0","5","0","0","0","0","0","0","35","35","0","0","0","35","25","5","0","0","160","2,705"
"10007146","The University of Greenwich","25","0","0","0","0","0","0","0","5","0","0","0","10","0","0","0","35","35","0","5","0","15","50","10","0","0","190","6,955"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","20","325"
"10040812","Harper Adams University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","10","265"
"10080811","Hartpury University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","10","170"
"10007764","Heriot-Watt University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","20","0","5","0","10","10","5","0","0","145","3,270"
"10007147","University of Hertfordshire","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","35","0","0","0","10","30","10","0","0","115","9,720"
"10007148","The University of Huddersfield","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","5","5","0","0","0","55","3,700"
"10007149","The University of Hull","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","10","5","0","0","0","35","2,200"
"10003270","Imperial College of Science, Technology and Medicine","5","0","5","5","5","5","0","0","0","5","0","0","0","0","0","5","40","85","0","10","0","135","65","5","0","0","380","11,265"
"10013220","Institute of Art - London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","20","0","0","0","10","5","5","0","0","45","305"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","10","0","0","0","0","25","325"
"10082728","INTO University Partnerships Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","25","5","0","0","35","530"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007767","Keele University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","20","805"
"10007150","The University of Kent","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","20","0","0","0","30","55","0","0","0","150","3,535"
"10003645","King's College London","10","0","5","30","5","0","0","0","5","5","5","0","0","15","0","10","100","145","0","15","0","245","185","35","0","0","825","15,550"
"10008325","KLC School of Design","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10"
"10003678","Kingston University","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","25","0","5","0","10","35","5","0","0","210","4,850"
"10003758","LAMDA Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","125"
"10007768","The University of Lancaster","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10","30","0","0","0","40","20","5","0","0","130","5,475"
"10066551","LCCM AU UK Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","5","0","0","0","5","0","0","0","0","30","210"
"10003861","Leeds Beckett University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0","5","15","0","0","0","45","2,275"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","5","0","0","0","20","170"
